tempo,mfccs_mean,mfccs_std,emotion
117.45383522727273,"[-138.1795      134.59904      -3.1708724    43.049015      1.9147525
   17.730335     -4.5417666     7.1305876    -4.6591086     0.78216124
   -3.8796887     2.7270527    -1.8553708 ]","[43.24521   24.320658  17.716175  11.057242   7.4924216  7.035993
  6.5202293  5.731414   5.8054423  5.839766   5.866764   6.0521235
  6.2496367]",angry
151.99908088235293,"[-35.803677    33.973442     0.08388215  23.824648     4.1572137
  17.446207    10.316675    16.671555     8.461468    13.840334
   7.5484214    8.335049     2.9820178 ]","[45.86899   19.01127   17.564844  12.056528  14.2147045  9.38394
 13.222381  10.988906   9.566062   8.464357   8.058898   7.5074124
  6.6773043]",angry
117.45383522727273,"[-71.26544    115.05196     -6.9142294   34.490406     3.450753
  14.17141      0.40289184  11.375581    -2.0102482    7.4815125
  -1.1154149    4.6484466   -0.83454424]","[55.701485  17.769066  11.281758   7.975509   6.581319   7.8677745
  5.8790183  5.2722707  5.128466   4.4165444  4.185356   4.393784
  4.3919954]",angry
129.19921875,"[-224.04227     132.0928       25.593653     37.60901       9.849698
   13.837531     -0.60830384    7.5350614    -1.7014954     6.922415
   -0.9080025     1.3619779    -7.419788  ]","[118.77313    34.846493   19.505285   12.062136   12.217619    9.255372
   8.345581    7.0605903   6.366393    5.501151    6.6179624   6.2176404
   6.6186905]",angry
107.666015625,"[-83.0903    115.548615   -5.95214    43.800224    1.5701911  13.554321
   3.834078   10.091941   -0.5512665   7.4032445  -0.5092795   3.7733188
  -1.5621815]","[34.881805  12.492726   8.604515   7.454456   5.399418   4.846824
  4.4708257  4.7309766  4.41009    4.504649   4.497072   5.0567055
  5.0433707]",angry
89.10290948275862,"[  4.8374186  83.67307   -13.265015   49.376984    2.6016455  14.64162
   7.3713326  15.277809    7.178477    3.2233388   2.510462    5.8193936
  -4.2704105]","[30.672405  18.237371  11.76579    8.708469   6.801858   5.039657
  4.7265196  4.9041724  5.071911   5.3970447  6.29611    6.497066
  6.3689456]",angry
103.359375,"[-2.3631293e+02  1.3276288e+02 -2.5376165e+01  2.8914501e+01
 -6.9238400e+00 -4.9167981e+00 -3.7982678e+00  9.4260126e-02
 -6.4344639e-01  3.3444741e-01 -1.8705676e+00  1.6170650e+00
 -7.3167443e+00]","[59.895615  19.928627  22.253122  14.180546   8.495034   8.390443
  6.7014813  6.0735865  6.484545   6.287045   6.2631154  6.97121
  8.272044 ]",angry
151.99908088235293,"[-152.35934      81.44179       1.988788     33.953987      1.3532885
   11.419148     -1.0981565     6.301985     -0.95245826    3.6096008
   -4.634761      1.6579542    -3.5360649 ]","[37.046806  14.539512  10.374067   5.985976   5.6079154  4.6498938
  4.517768   4.324485   4.3432183  4.2296686  4.119397   3.863576
  3.8568232]",angry
112.34714673913044,"[-108.74913      69.73746      -6.598111     15.002302    -13.593396
    7.0555687    -0.43865192    2.9538748    -8.266638     -1.3154442
   -6.003517      2.968135     -8.356247  ]","[48.3466    21.605562  14.655945  10.957799  13.243142  10.630671
 10.597413   7.923066   7.932915   7.418232   7.8555956  7.2185993
  7.361906 ]",angry
172.265625,"[-93.97893    79.73109   -14.364683   50.522373    9.021742    7.5827503
   4.5308166  13.912451    9.358531    9.073491   -0.6027514  11.863765
   5.736537 ]","[43.944904  21.17125   21.531418  17.166735   7.554383   6.522768
  6.141726   5.593264   7.3821626  5.9747496  5.7652855  6.8727965
  5.1985874]",angry
